x_m,intensity_norm,target
-0.0011225,5.32877218408109e-12,0
-0.00112,4.74316938243017e-12,0
-0.0011175,2.31037476540081e-12,0
-0.001115,3.63886406035582e-13,0
-0.0011125,8.66299376512763e-13,0
-0.00111,3.48248155976004e-12,0
-0.0011075,5.84279330994488e-12,0
-0.001105,5.77232878977618e-12,0
-0.0011025,3.34379126973806e-12,0
-0.0011,7.69353125667368e-13,0
-0.0010975,2.44212581859996e-13,0
-0.001095,1.85251286365565e-12,0
-0.0010925,3.58514558864744e-12,0
-0.00109,3.44309719562283e-12,0
-0.0010875,1.53474922007522e-12,0
-0.001085,5.70735512872522e-14,0
-0.0010825,1.1226888151249e-12,0
-0.00108,4.54123256128043e-12,0
-0.0010775,7.76691908690747e-12,0
-0.001075,8.14820822497676e-12,0
-0.0010725,5.36560727651516e-12,0
-0.00107,1.72345852531294e-12,0
-0.0010675,1.11986744456518e-14,0
-0.001065,9.87962782493881e-13,0
-0.0010625,2.89115947376662e-12,0
-0.00106,3.38030125813421e-12,0
-0.0010575,1.94670012114706e-12,0
-0.001055,3.85895657186833e-13,0
-0.0010525,8.74250186754411e-13,0
-0.00105,3.5975897745545e-12,0
-0.0010475,6.35787308969722e-12,0
-0.001045,6.63329458153392e-12,0
-0.0010425,4.09829525595242e-12,0
-0.00104,1.0807984559781e-12,0
-0.0010375,4.15549878468937e-13,0
-0.001035,2.72702235848803e-12,0
-0.0010325,5.79572903911321e-12,0
-0.00103,6.66917119540633e-12,0
-0.0010275,4.49326506769039e-12,0
-0.001025,1.30599836739825e-12,0
-0.0010225,1.18961495419706e-14,0
-0.00102,1.53045306430396e-12,0
-0.0010175,3.94617367749587e-12,0
-0.001015,4.52172368909689e-12,0
-0.0010125,2.57680658871081e-12,0
-0.00101,3.18990651700944e-13,0
-0.0010075,6.99796909810404e-13,0
-0.001005,4.3469704607826e-12,0
-0.0010025,8.64097391319441e-12,0
-0.001,9.98374809759432e-12,0
-0.0009975,7.16937622102065e-12,0
-0.000995,2.59592661770759e-12,0
-0.0009925,7.54135722573925e-14,0
-0.00099,1.29790051263244e-12,0
-0.0009875,4.36098329368259e-12,0
-0.000985,5.80334715649828e-12,0
-0.0009825,4.15333180260621e-12,0
-0.00098,1.47549505118441e-12,0
-0.0009775,1.32346275398181e-12,0
-0.000975,5.05760522068225e-12,0
