y_m,intensity_norm,target
-0.002045,1.57657019248967e-12,0
-0.0020425,7.61318566533772e-13,0
-0.00204,1.86260812986141e-13,0
-0.0020375,6.40270680262758e-14,0
-0.002035,2.65418853267257e-13,0
-0.0020325,4.95962886419807e-13,0
-0.00203,5.71230709715135e-13,0
-0.0020275,5.36875207797423e-13,0
-0.002025,5.51319880274005e-13,0
-0.0020225,6.85863987081165e-13,0
-0.00202,8.64669681558363e-13,0
-0.0020175,1.00256707076681e-12,0
-0.002015,1.17293765754578e-12,0
-0.0020125,1.58796596219404e-12,0
-0.00201,2.36315546317732e-12,0
-0.0020075,3.28485457333297e-12,0
-0.002005,3.84701991723731e-12,0
-0.0020025,3.59701155484934e-12,0
-0.002,2.52672225401326e-12,0
-0.0019975,1.15772234816265e-12,0
-0.001995,2.04998417492671e-13,0
-0.0019925,6.82152862451197e-14,0
-0.00199,5.63173723946524e-13,0
-0.0019875,1.1109937450187e-12,0
-0.001985,1.21531133937313e-12,0
-0.0019825,8.22878663185815e-13,0
-0.00198,2.86344359569502e-13,0
-0.0019775,7.9978147767348e-15,0
-0.001975,1.07320982113782e-13,0
-0.0019725,3.92030931702722e-13,0
-0.00197,6.03540747252905e-13,0
-0.0019675,6.59572050507857e-13,0
-0.001965,6.60021658568213e-13,0
-0.0019625,6.93197046550666e-13,0
-0.00196,6.9153051672319e-13,0
-0.0019575,5.20197854185316e-13,0
-0.001955,2.09260339862478e-13,0
-0.0019525,5.03854722343832e-14,0
-0.00195,3.88171840066453e-13,0
-0.0019475,1.25545087556722e-12,0
-0.001945,2.21201008360066e-12,0
-0.0019425,2.60904560049632e-12,0
-0.00194,2.11216505146059e-12,0
-0.0019375,1.0347700820034e-12,0
-0.001935,1.50721530270235e-13,0
-0.0019325,9.80186520571239e-14,0
-0.00193,8.63076403611366e-13,0
-0.0019275,1.79229702642512e-12,0
-0.001925,2.13155149085428e-12,0
-0.0019225,1.6354953428263e-12,0
-0.00192,7.30343426616244e-13,0
