x_m,intensity_norm,target
-0.0012325,1.01122185020623e-12,0
-0.00123,7.58427289323338e-13,0
-0.0012275,5.91019343850865e-13,0
-0.001225,6.19620372294311e-13,0
-0.0012225,8.5563846291789e-13,0
-0.00122,1.14765359584969e-12,0
-0.0012175,1.26266985794004e-12,0
-0.001215,1.10774762602893e-12,0
-0.0012125,8.93209474492639e-13,0
-0.00121,1.01491962952622e-12,0
-0.0012075,1.67932538889881e-12,0
-0.001205,2.60251445947907e-12,0
-0.0012025,3.1376767295054e-12,0
-0.0012,2.81661671329558e-12,0
-0.0011975,1.84298925404212e-12,0
-0.001195,1.0204965536817e-12,0
-0.0011925,1.07993951122502e-12,0
-0.00119,1.97733854382982e-12,0
-0.0011875,2.85601113004265e-12,0
-0.001185,2.79551808169917e-12,0
-0.0011825,1.69622525191392e-12,0
-0.00118,4.36261305456464e-13,0
-0.0011775,7.5776875770591e-14,0
-0.001175,8.22068364352663e-13,0
-0.0011725,1.78497836360198e-12,0
-0.00117,1.85212297728151e-12,0
-0.0011675,8.9858796523078e-13,0
-0.001165,1.07316596024054e-13,0
-0.0011625,9.38414837051753e-13,0
-0.00116,3.61081360732841e-12,0
-0.0011575,6.57168214305733e-12,0
-0.001155,7.63221823825076e-12,0
-0.0011525,5.88471798776279e-12,0
-0.00115,2.65378206131383e-12,0
-0.0011475,4.88727171958034e-13,0
-0.001145,9.83419427337224e-13,0
-0.0011425,3.37320784673983e-12,0
-0.00114,5.24080208389336e-12,0
-0.0011375,4.74331608841241e-12,0
-0.001135,2.31799979344104e-12,0
-0.0011325,2.52231783421613e-13,0
-0.00113,4.89202006380971e-13,0
-0.0011275,2.74029234016427e-12,0
-0.001125,4.7380475484147e-12,0
-0.0011225,4.44344875437921e-12,0
-0.00112,2.1081941509037e-12,0
-0.0011175,1.52347922184011e-13,0
-0.001115,8.73307706419957e-13,0
-0.0011125,4.13172173110954e-12,0
-0.00111,7.28671146470442e-12,0
-0.0011075,7.56426717358347e-12,0
-0.001105,4.6795962408232e-12,0
-0.0011025,1.18932181899313e-12,0
-0.0011,1.45990349494583e-13,0
-0.0010975,2.22668943272074e-12,0
-0.001095,5.09965924018296e-12,0
-0.0010925,5.7184411591311e-12,0
-0.00109,3.4026255286113e-12,0
-0.0010875,7.02712114936137e-13,0
-0.001085,1.07547020519806e-12,0
-0.0010825,5.46510585363724e-12,0
-0.00108,1.10594768959952e-11,0
-0.0010775,1.35541135298449e-11,0
-0.001075,1.09552133039114e-11,0
-0.0010725,5.41120237511083e-12,0
-0.00107,1.31701806072021e-12,0
-0.0010675,1.40319738463922e-12,0
-0.001065,4.43433571593461e-12,0
-0.0010625,6.64261032025976e-12,0
-0.00106,5.48760229113071e-12,0
-0.0010575,2.11904811156048e-12,0
-0.001055,1.68642810778298e-13,0
-0.0010525,2.05086335529441e-12,0
-0.00105,6.40308222238884e-12,0
-0.0010475,9.24134959209486e-12,0
-0.001045,7.8074618721048e-12,0
-0.0010425,3.39446599341187e-12,0
-0.00104,3.14510092773232e-13,0
-0.0010375,1.85732358982058e-12,0
-0.001035,7.06148600344884e-12,0
-0.0010325,1.14605051553924e-11,0
-0.00103,1.12076417032443e-11,0
-0.0010275,6.6961228532467e-12,0
-0.001025,2.1848415865449e-12,0
-0.0010225,1.73011241250756e-12,0
-0.00102,5.31401348926631e-12,0
