y_m,intensity_norm,target
-0.0018475,2.23133713135645e-14,0
-0.001845,5.0967816371725e-14,0
-0.0018425,1.07869177543263e-13,0
-0.00184,1.63060947952131e-13,0
-0.0018375,1.84788858599539e-13,0
-0.001835,1.60950125038748e-13,0
-0.0018325,1.07739337091195e-13,0
-0.00183,5.53326126337684e-14,0
-0.0018275,2.57875917152121e-14,0
-0.001825,3.19192481101565e-14,0
-0.0018225,1.04562447310852e-13,0
-0.00182,3.1484647392394e-13,0
-0.0018175,7.44556744822301e-13,0
-0.001815,1.40033884541221e-12,0
-0.0018125,2.13665946013651e-12,0
-0.00181,2.67687160031626e-12,0
-0.0018075,2.75823344492007e-12,0
-0.001805,2.31529510263461e-12,0
-0.0018025,1.5572064298042e-12,0
-0.0018,8.57781818305981e-13,0
-0.0017975,5.24792420947831e-13,0
-0.001795,6.21728814553858e-13,0
-0.0017925,9.78679053927236e-13,0
-0.00179,1.3708180305634e-12,0
-0.0017875,1.70071751545043e-12,0
-0.001785,2.02548879555972e-12,0
-0.0017825,2.42095130405198e-12,0
-0.00178,2.83277040018365e-12,0
-0.0017775,3.07708469430775e-12,0
-0.001775,3.003404257901e-12,0
-0.0017725,2.66186325138581e-12,0
-0.00177,2.29526467140828e-12,0
-0.0017675,2.13653557149196e-12,0
-0.001765,2.18836096038967e-12,0
-0.0017625,2.20101706120716e-12,0
-0.00176,1.89356831608225e-12,0
-0.0017575,1.23161055824862e-12,0
-0.001755,5.02177571595024e-13,0
-0.0017525,9.63721891701643e-14,0
-0.00175,1.78652009309678e-13,0
-0.0017475,5.40508517370014e-13,0
-0.001745,7.83725642822456e-13,0
-0.0017425,6.81607586656066e-13,0
-0.00174,3.94766283233067e-13,0
-0.0017375,3.36771415618002e-13,0
-0.001735,7.96999211052346e-13,0
-0.0017325,1.65386602394214e-12,0
-0.00173,2.44201711439748e-12,0
-0.0017275,2.7273575041328e-12,0
-0.001725,2.46891576190375e-12,0
-0.0017225,2.05341897806341e-12,0
-0.00172,1.97204604117961e-12,0
-0.0017175,2.41658121725315e-12,0
-0.001715,3.13322851396514e-12,0
-0.0017125,3.64048771923184e-12,0
-0.00171,3.60677984962211e-12,0
-0.0017075,3.0681078688413e-12,0
-0.001705,2.33278675688569e-12,0
-0.0017025,1.70075887916484e-12,0
-0.0017,1.26223312775398e-12,0
-0.0016975,9.27210343079756e-13,0
-0.001695,6.0382094895057e-13,0
-0.0016925,3.18908413524939e-13,0
-0.00169,1.65767321539643e-13,0
-0.0016875,1.61809744322731e-13,0
-0.001685,1.95760895310123e-13,0
-0.0016825,1.42961207969334e-13,0
-0.00168,3.57174490572204e-14,0
-0.0016775,9.45975098992457e-14,0
-0.001675,5.48580604893259e-13,0
-0.0016725,1.38539747847472e-12,0
-0.00167,2.26818337520833e-12,0
-0.0016675,2.72696219219535e-12,0
-0.001665,2.49109235294402e-12,0
-0.0016625,1.69341703255812e-12,0
-0.00166,7.76619018844739e-13,0
-0.0016575,1.80676084559863e-13,0
-0.001655,6.61574814749727e-14,0
-0.0016525,2.79768493505434e-13,0
-0.00165,5.49992186748559e-13,0
-0.0016475,7.14515768889336e-13,0
-0.001645,7.87599407133439e-13,0
-0.0016425,8.49405278154666e-13,0
-0.00164,9.05295580928606e-13,0
-0.0016375,8.68321853510149e-13,0
-0.001635,6.73186082395155e-13,0
-0.0016325,3.88000260505039e-13,0
-0.00163,1.91904326700984e-13,0
-0.0016275,2.25233391683659e-13,0
-0.001625,4.53046573996801e-13,0
-0.0016225,6.78544209222611e-13,0
-0.00162,7.03746802455091e-13,0
-0.0016175,4.95253830680273e-13,0
-0.001615,2.06334027291153e-13,0
-0.0016125,3.81708443137928e-14,0
-0.00161,6.8126495798992e-14,0
-0.0016075,1.97707764923241e-13,0
-0.001605,2.5932769118995e-13,0
-0.0016025,1.77884628981126e-13,0
-0.0016,4.04471615441585e-14,0
-0.0015975,1.66728915880121e-14,0
-0.001595,2.05985800641424e-13,0
-0.0015925,5.4531769642564e-13,0
-0.00159,8.50665072682841e-13,0
-0.0015875,9.50382106708422e-13,0
-0.001585,8.00288045044394e-13,0
-0.0015825,4.9876075117486e-13,0
-0.00158,2.06246209209574e-13,0
-0.0015775,4.06352745577026e-14,0
-0.001575,2.16580808451661e-14,0
-0.0015725,8.82722083085784e-14,0
-0.00157,1.60405106586872e-13,0
-0.0015675,1.95387738561407e-13,0
-0.001565,2.03155502264375e-13,0
-0.0015625,2.16301375525144e-13,0
-0.00156,2.42965998519736e-13,0
-0.0015575,2.46296319743369e-13,0
-0.001555,1.7959523399817e-13,0
-0.0015525,6.03287638839237e-14,0
