rank_envelope,name,z40_rms_waves,z20_rms_waves,envelope_score,footprint_iou,inside_fill_fraction,outside_fraction,outer_band_rmse,rectangle_accepted,center_ratio,middle_over_sides,core_rms_fraction,hole_target_score,size50_x_um,size50_y_um
126,Z40+3.000_Z20+5.250_rmswaves,3.0,5.25,27.87914622927308,0.47452929370161523,0.6058572300183038,0.3165863730213352,0.7029917141130685,False,1.3224660998604867,0.8629301338283628,0.8432604050763756,18.16097455239902,44.587974310704084,140.8138407634363
127,Z40+0.000_Z20-4.500_rmswaves,0.0,-4.5,27.8792492042795,0.4569666111818271,0.5694935936546675,0.305195771921989,0.6128564706580395,False,2.8793110808864557,3.580948884872355,0.7677239982448782,85.88905175106629,243.08429837126042,319.2709655325506
128,Z40+9.000_Z20-5.625_rmswaves,9.0,-5.625,27.89987871446513,0.4151811758605043,0.7825503355704698,0.5308361986977833,0.4711001786263579,False,1.2671591309032202,0.8960642334986682,0.5792800707437215,13.98621594706211,222.07597618379785,49.91457778742275
129,Z40-9.000_Z20-1.125_rmswaves,-9.0,-1.125,27.93535089092775,0.4163342705813117,0.7808419768151311,0.5258946432540564,0.48366591899687766,False,1.288393030793462,1.0578712872303724,0.6716095948356693,15.89558980325108,26.981803616999827,231.4603614996838
130,Z40-12.000_Z20+0.000_rmswaves,-12.0,0.0,27.959609554986656,0.4196068047924803,0.7774252593044539,0.5203643755175789,0.49956488665615245,False,1.3389125242488609,0.9972688598432022,0.6803651346954446,16.731774159708795,28.698290489322567,217.8584812379546
131,Z40-9.000_Z20+4.125_rmswaves,-9.0,4.125,27.965550322182356,0.411297940676365,0.800366076876144,0.5396223766406962,0.4808754110441494,False,1.0941746745584575,0.9784021390202056,0.5360658249251198,10.048967501322801,25.41529107880825,128.99578847195815
132,Z40+6.000_Z20-4.875_rmswaves,6.0,-4.875,27.996479591354138,0.4100289752232275,0.8500305064063454,0.5557964545338605,0.5310155544409061,False,0.8855604697995212,0.9198968634572086,0.5405445304615188,6.471878386621465,nan,nan
133,Z40-12.000_Z20+1.500_rmswaves,-12.0,1.5,28.025054877820082,0.4292925847602156,0.7679072605247101,0.5079365079365079,0.5408404685013605,False,1.017823852855917,1.0516111905927932,0.607041429591083,10.147875439087715,111.17164913241409,126.54652121896063
134,Z40+12.000_Z20-5.625_rmswaves,12.0,-5.625,28.031167975565392,0.4170779528091407,0.7527760829774253,0.5179338907556459,0.46723730382793777,False,1.2627387938151524,0.8617017007104433,0.6282515692996707,14.407751397087248,57.78780721329626,34.40450667631299
135,Z40-12.000_Z20-1.125_rmswaves,-12.0,-1.125,28.069279178294668,0.42057317640800584,0.7757169005491154,0.5184455723051284,0.5159400229853579,False,1.2738355267223416,0.980301920051953,0.6703788350909958,15.208279202912836,25.431927830403787,93.22553784381893
136,Z40+6.000_Z20-4.125_rmswaves,6.0,-4.125,28.08036437909091,0.4006365984024983,0.8179377669310556,0.5578204367042681,0.4617295160385859,False,1.209494066155983,0.9512209538430223,0.583295719998476,12.842839727187672,27.904275000724333,118.51132759117877
137,Z40-6.000_Z20-3.375_rmswaves,-6.0,-3.375,28.08227038215304,0.4317233576126158,0.7488712629652227,0.4920963336919639,0.5502049126061009,False,1.0575910959160535,0.9002477480145165,0.6422407450360168,10.579999635074975,62.84317040099384,61.48333009676978
138,Z40-3.000_Z20-3.375_rmswaves,-3.0,-3.375,28.08245316538804,0.44415972667093745,0.7653447223917023,0.4827643080983012,0.6262441812994785,False,0.871456922185865,1.1802126291843928,0.7374565004989103,12.277677409455412,nan,nan
139,Z40-9.000_Z20-2.250_rmswaves,-9.0,-2.25,28.108734080600115,0.4242567248702218,0.7718120805369127,0.5120728226490782,0.5354271511144308,False,1.1975527586691483,0.9783385365211574,0.5985916071353242,12.843350517344371,23.537267245269,81.41214805482156
140,Z40-12.000_Z20-0.750_rmswaves,-12.0,-0.75,28.150735774579218,0.4380340371442695,0.7569249542403905,0.49159904925825754,0.5901792618555142,False,0.9590638703030572,1.1126699375181621,0.6355547324782734,10.474301481863876,114.81626089288247,112.80000508493238
